accel_x,accel_y,accel_z,variance,variance,mean_x,mean_y,covarianceX,covarianceY,whiteNoiseX,whiteNoiseY
0.002257086,-0.001384364,0.14462149,,,,,,,,
0.001088063,-8.50E-04,0.14507806,,,,,,,,
3.65E-05,-8.31E-04,0.14555949,,,,,,,,
-0.001202187,-2.57E-05,0.14585723,,,,,,,,
-8.20E-04,4.59E-04,0.14365365,,,,,,,,
-8.06E-04,0.001722267,0.1447958,,,,,,,,
7.34E-04,-3.27E-04,0.14414664,,,,,,,,
0.001093241,-0.001940298,0.14581402,,,,,,,,
9.97E-04,-0.003908933,0.14666834,,,,,,,,
0.002149255,-0.003723009,0.14663509,,,,,,,,
0.001380193,-0.003332328,0.14894621,,,,,,,,
8.94E-05,-0.002355123,0.14760225,,,,,,,,
0.001599554,-0.004249489,0.1476936,,,,,,,,
0.00140893,-0.004841518,0.14783025,,,,,,,,
2.67E-04,-0.002939987,0.14730895,,,,,,,,
-5.30E-04,-0.001992119,0.1486716,,,,,,,,
-6.01E-04,-3.33E-04,0.14737608,,,,,,,,
-6.45E-04,0.001049152,0.14765914,,,,,,,,
8.71E-04,-0.001182953,0.14679603,,,,,,,,
0.002394847,-0.001756191,0.14624427,,,,,,,,
0.002207841,-0.00179359,0.14645632,,,,,,,,
0.001194089,-0.003166699,0.14542332,,,,,,,,
5.48E-04,-0.003478964,0.14497145,,,,,,,,
0.001544453,-0.005090223,0.14452842,,,,,,,,
0.002625474,-0.006360954,0.14391996,,,,,,,,
0.001417524,-0.006155826,0.14460698,,,,,,,,
4.77E-04,-0.005933736,0.14491682,,,,,,,,
1.62E-04,-0.005645189,0.14610982,,,,,,,,
0.001177823,-0.005593871,0.14593786,,,,,,,,
-2.82E-05,-0.006523006,0.14380771,,,,,,,,
0.001155637,-0.006706926,0.14324214,,,,,,,,
0.001782085,-0.005827874,0.1434234,,,,,,,,
0.001025041,-0.003967836,0.14543241,,,,,,,,
-7.57E-04,-0.003450489,0.1463342,,,,,,,,
-6.67E-04,-0.002775009,0.14557888,,,,,,,,
2.77E-04,-0.001721537,0.14555748,,,,,,,,
-1.91E-04,-0.001054323,0.14462216,,,,,,,,
-1.78E-04,-0.001482299,0.14671086,,,,,,,,
-6.02E-04,-0.001791033,0.14827758,,,,,,,,
1.74E-04,-9.79E-04,0.14916049,,,,,,,,
-8.88E-05,-0.001213668,0.14891624,,,,,,,,
-5.27E-04,-0.001627952,0.14848286,,,,,,,,
5.75E-04,-9.22E-04,0.14823352,,,,,,,,
0.001161478,-0.001191332,0.14826232,,,,,,,,
7.29E-04,-0.001328872,0.14759912,,,,,,,,
0.001343466,-5.74E-04,0.14765513,,,,,,,,
7.40E-04,-0.001651991,0.1485355,,,,,,,,
2.52E-04,-0.003280955,0.14838198,,,,,,,,
6.92E-05,-0.002094532,0.14735657,,,,,,,,
0.001090634,-0.001434233,0.14804886,,,,,,,,
5.66E-04,-0.002108162,0.14610104,,,,,,,,
0.00104634,-0.002447295,0.14631316,,,,,,,,
1.09E-04,-0.001746387,0.1465508,,,,,,,,
-3.39E-04,-0.00116721,0.1468545,,,,,,,,
3.20E-04,-3.99E-04,0.14707434,,,,,,,,
0.001179127,-0.001605338,0.14635593,,,,,,,,
9.75E-04,-0.00311124,0.14699005,,,,,,,,
5.08E-05,-0.003154709,0.14695163,,,,,,,,
